,fuelType_Clusters,tripsTaken_Clusters,dailyRate_Clusters,vehicleMake_Clusters,vehicleType_Clusters,vehicleAge_Clusters
396,0,0,1,0,0,0
397,0,0,4,4,1,3
398,3,0,1,1,4,4
399,0,0,1,3,3,0
400,0,0,3,4,1,0
401,0,0,3,3,0,4
402,2,0,1,1,0,0
403,0,0,1,3,1,3
404,0,0,3,1,2,0
405,0,2,1,0,0,3
406,0,0,3,1,2,1
407,0,0,1,0,0,1
408,0,3,1,0,0,1
409,0,3,1,1,0,1
410,0,3,1,0,0,3
411,0,0,1,0,0,3
412,3,0,1,3,1,4
413,0,3,1,1,0,1
414,3,0,1,0,4,3
415,3,3,1,0,2,1
416,0,3,1,1,2,1
417,0,0,1,0,1,4
418,3,2,1,1,4,1
419,0,0,1,0,0,4
420,2,3,1,1,4,1
421,0,0,3,2,0,4
422,0,0,1,2,0,0
423,0,3,1,2,0,3
424,2,0,1,0,0,0
425,0,0,1,0,0,0
426,0,0,1,2,1,3
427,3,0,1,4,1,1
428,0,0,1,1,0,3
429,0,0,1,1,1,1
430,0,1,1,2,0,0
431,3,2,1,2,4,4
432,3,1,1,2,4,4
433,3,2,1,3,4,4
434,0,4,1,1,0,0
435,3,2,1,3,4,1
436,0,3,1,2,0,0
437,0,0,1,0,1,0
438,0,0,1,3,3,0
439,0,0,1,2,0,3
440,1,0,0,1,0,0
441,0,0,1,0,0,3
442,1,2,3,1,0,3
443,0,0,1,0,0,3
444,0,2,3,2,0,1
445,0,0,1,3,0,3
446,1,0,0,1,0,3
447,0,2,1,0,0,3
448,0,0,3,4,1,3
449,0,3,3,2,1,0
450,0,0,1,0,0,3
451,1,2,3,1,0,0
452,0,0,1,3,2,0
453,1,0,3,1,0,3
454,0,3,1,2,0,4
455,1,0,3,1,1,3
456,0,0,3,0,1,4
457,0,0,1,1,1,1
458,0,1,1,4,0,0
459,0,0,3,1,1,1
460,0,0,1,2,3,0
461,0,3,1,1,1,0
462,0,4,1,2,0,4
463,0,3,0,4,0,3
464,0,0,1,2,0,0
465,0,0,1,1,0,3
466,0,0,1,3,0,0
467,0,0,3,3,1,3
468,0,0,1,2,3,3
469,0,2,3,4,1,3
470,1,0,3,1,0,0
471,0,3,3,2,0,3
472,0,3,1,3,0,1
473,0,0,1,0,1,3
474,0,0,1,3,0,0
475,0,0,1,3,0,3
476,0,2,1,3,0,4
477,0,0,1,4,0,4
478,0,0,0,3,0,0
479,0,0,1,0,0,3
480,0,0,3,3,0,0
481,0,0,3,4,0,1
482,0,0,2,3,0,0
483,0,3,1,4,1,1
484,0,3,1,2,0,3
485,0,3,1,2,0,3
